station_name,blue_betweenness,blue_closeness_centrality,blue_degree_centrality,blue_harmonic,blue_wasserman,gray_betweenness,gray_closeness_centrality,gray_degree_centrality,gray_harmonic,gray_wasserman,green_betweenness,green_closeness_centrality,green_degree_centrality,green_harmonic,green_wasserman,orange_betweenness,orange_closeness_centrality,orange_degree_centrality,orange_harmonic,orange_wasserman,red_betweenness,red_closeness_centrality,red_degree_centrality,red_harmonic,red_wasserman,yellow_betweenness,yellow_closeness_centrality,yellow_degree_centrality,yellow_harmonic,yellow_wasserman
Coliseum,3490.0,0.11820159535895576,6.0,0.14470423597391283,0.09045474198830887,644.3333333333334,0.11280276816608996,5.0,0.13398015238103758,0.08632324512240687,4514.166666666666,0.11889132020423049,6.0,0.14526111258712748,0.09098255959290878,5766.499999999999,0.11854545454545455,6.0,0.14532224472975794,0.09071788305591123,,,,,,,,,,
Colma,,,,,,,,,,,,,,,,,,,,,1655.0,0.07780429594272076,4.0,0.10995649054802466,0.0595403767073403,2004.0,0.07810253953042645,4.0,0.11003138435531284,0.059768610063190196
Concord,,,,,,,,,,,,,,,,,,,,,,,,,,2789.0,0.07553290083410566,3.0,0.08908087597007022,0.057802172938775695
Daly City,64.58333333333334,0.0829938900203666,5.0,0.11628193109922028,0.0635117562127688,,,,,,81.75,0.08333333333333333,5.0,0.11637232700616304,0.06377151799687011,,,,,,1962.4166666666665,0.08320571720265442,6.0,0.12168698934414375,0.06367385870437874,2326.25,0.08354689902614044,6.0,0.12176908629912561,0.06393495089793846
Downtown Berkeley,,,,,,,,,,,,,,,,1919.5,0.1004313000616143,4.0,0.11883006381545605,0.07685587751193959,1979.5,0.10036945812807882,4.0,0.1186685879290423,0.07680855246421056,,,,,
Dublin,325.0,0.0797846304454234,2.0,0.0859053835847767,0.061055843955887396,,,,,,,,,,,,,,,,,,,,,,,,,
El Cerrito Plaza,,,,,,,,,,,,,,,,1095.5,0.08538501833420639,4.0,0.10401869590266227,0.06534158680035514,1131.5,0.08534031413612565,4.0,0.10391273070000231,0.06530737654548584,,,,,
El Cerrito del Norte,,,,,,,,,,,,,,,,623.5,0.07908782144590004,4.0,0.09592924648597224,0.060522605144045574,647.5,0.07904946653734239,4.0,0.09584121979312885,0.06049325373514935,,,,,
Embarcadero,2622.916666666667,0.13187702265372167,6.0,0.15437117004018414,0.1009199750824255,,,,,,3184.0833333333335,0.13273615635179153,6.0,0.15461912240081255,0.10157743420348367,,,,,,2639.5833333333335,0.132412672623883,6.0,0.15433949852963935,0.10132988562297152,3236.4166666666665,0.13327882256745707,6.0,0.15455112180464292,0.10199271398354696
Fremont,,,,,,,,,,,1551.5,0.0779531324725012,4.0,0.10250836966031886,0.059654275084590126,1507.5,0.07780429594272076,4.0,0.10251061126487461,0.0595403767073403,,,,,,,,,,
